gap_mm,Q_total_mL_min,phi_AN,delta_um,V_warm_V,cache_file,converged,wall_s,note
1.00,10,0.2900,130.7,-1.000000,s_eo0.290_d131_V-1.000000.bin,true,0.01,
1.00,10,0.1600,130.7,-1.000000,s_eo0.160_d131_V-1.000000.bin,true,0.01,
1.00,10,0.0800,130.7,-1.000000,s_eo0.080_d131_V-1.000000.bin,true,0.01,
1.00,10,0.2400,130.7,-1.000000,s_eo0.240_d131_V-1.000000.bin,true,0.02,
1.00,10,0.0400,130.7,-1.000000,s_eo0.040_d131_V-1.000000.bin,true,0.01,
1.00,10,0.2000,130.7,-1.000000,s_eo0.200_d131_V-1.000000.bin,true,0.02,
1.00,10,0.1200,130.7,-1.000000,s_eo0.120_d131_V-1.000000.bin,true,0.01,
1.00,10,0.2800,130.7,-1.000000,s_eo0.280_d131_V-1.000000.bin,true,0.01,
1.00,10,0.1800,130.7,-1.000000,s_eo0.180_d131_V-1.000000.bin,true,0.01,
1.00,10,0.1000,130.7,-1.000000,s_eo0.100_d131_V-1.000000.bin,true,0.01,
1.00,10,0.2600,130.7,-1.000000,s_eo0.260_d131_V-1.000000.bin,true,0.01,
1.00,10,0.0600,130.7,-1.000000,s_eo0.060_d131_V-1.000000.bin,true,0.02,
1.00,10,0.2200,130.7,-1.000000,s_eo0.220_d131_V-1.000000.bin,true,0.01,
1.00,10,0.1400,130.7,-1.000000,s_eo0.140_d131_V-1.000000.bin,true,0.01,
