table,subset,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,FE_ADN_obs,FE_ADN_model,FE_ADN_resid_pp,FE_PN_obs,FE_PN_model,FE_PN_resid_pp,V_cathode_SHE_V,V_cell_obs_V,V_cell_pred_V,V_cell_resid_V,delta_lev_um,kappa_eff_S_per_m,R_series_Ohm_m2,converged,note
Table_S7,Extended-only,0.50,10,269,0.2200,49.90,76.92,27.02,15.90,5.99,-9.91,-2.1166,4.1822,4.1703,-0.0118,85.27,13.172,1.3149e-04,true,
Table_S7,Extended-only,0.50,10,285,0.1400,49.40,75.73,26.33,18.80,5.73,-13.07,-2.1283,4.1629,4.1908,0.0279,85.27,15.249,1.2720e-04,true,
Table_S7,Excluded,0.50,10,290,0.0200,1.30,20.53,19.23,1.60,2.73,1.13,-2.2477,4.2529,4.3025,0.0496,85.27,18.550,1.2236e-04,true,
Table_S7,Extended-only,0.50,10,290,0.2900,63.80,77.71,13.91,6.20,5.79,-0.41,-2.1217,4.2671,4.2168,-0.0503,85.27,11.439,1.3626e-04,true,
Table_S8,Excluded,1.00,2,85,0.0200,26.10,18.10,-8.00,39.50,5.07,-34.43,-2.1449,3.5771,3.9655,0.3884,223.47,18.550,1.4186e-04,true,
Table_S8,Core,1.00,2,80,0.2900,61.50,64.84,3.34,2.20,10.59,8.39,-2.0455,3.4761,3.8798,0.4037,223.47,11.439,1.6789e-04,true,
Table_S8,Core,1.00,2,85,0.1600,70.50,64.13,-6.37,2.60,10.15,7.55,-2.0541,3.5741,3.8840,0.3099,223.47,14.720,1.5275e-04,true,
Table_S8,Core,1.00,2,101,0.0800,74.60,59.48,-15.12,3.30,8.78,5.48,-2.0860,3.6580,3.9334,0.2754,223.47,16.872,1.4602e-04,true,
Table_S8,Core,1.00,2,116,0.2400,66.50,66.19,-0.31,2.90,8.69,5.79,-2.0789,4.0929,3.9660,-0.1269,223.47,12.668,1.6130e-04,true,
Table_S8,Core,1.00,2,131,0.0400,67.40,31.54,-35.86,13.20,5.32,-7.88,-2.1656,4.1016,4.0532,-0.0484,223.47,17.985,1.4318e-04,true,
Table_S8,Core,1.00,2,147,0.2000,70.70,64.85,-5.85,3.50,7.49,3.99,-2.1072,4.3290,4.0377,-0.2913,223.47,13.681,1.5676e-04,true,
Table_S8,Core,1.00,2,162,0.1200,69.40,61.52,-7.88,7.40,6.86,-0.54,-2.1276,4.3955,4.0693,-0.3263,223.47,15.784,1.4920e-04,true,
Table_S8,Core,1.00,2,177,0.2800,69.80,65.05,-4.75,5.10,6.76,1.66,-2.1264,4.7557,4.1210,-0.6346,223.47,11.681,1.6648e-04,true,
Table_S8,Excluded,1.00,2,193,0.0200,20.30,11.71,-8.59,33.00,2.57,-30.43,-2.2243,4.8156,4.1981,-0.6175,223.47,18.550,1.4186e-04,true,
Table_S8,Extended-only,1.00,2,208,0.1800,71.40,58.89,-12.51,6.90,5.80,-1.10,-2.1582,4.6828,4.1800,-0.5028,223.47,14.198,1.5469e-04,true,
Table_S8,Extended-only,1.00,2,223,0.1000,74.40,53.30,-21.10,8.00,5.26,-2.74,-2.1774,4.8402,4.2064,-0.6338,223.47,16.325,1.4757e-04,true,
Table_S8,Extended-only,1.00,2,239,0.2600,74.20,58.56,-15.64,6.50,5.35,-1.15,-2.1727,4.6063,4.2642,-0.3422,223.47,12.171,1.6380e-04,true,
Table_S8,Extended-only,1.00,2,254,0.0600,62.40,30.37,-32.03,11.50,3.60,-7.90,-2.2262,5.0394,4.2934,-0.7460,223.47,17.426,1.4456e-04,true,
Table_S8,Extended-only,1.00,2,269,0.2200,74.80,53.31,-21.49,7.70,4.74,-2.96,-2.1949,5.0302,4.3225,-0.7077,223.47,13.172,1.5896e-04,true,
Table_S8,Extended-only,1.00,2,285,0.1400,73.80,47.44,-26.36,7.80,4.30,-3.50,-2.2110,5.1708,4.3411,-0.8297,223.47,15.249,1.5092e-04,true,
Table_S8,Excluded,1.00,2,290,0.0200,17.50,8.50,-9.00,34.00,1.74,-32.26,-2.2631,5.0710,4.3745,-0.6965,223.47,18.550,1.4186e-04,true,
Table_S8,Extended-only,1.00,2,290,0.2900,72.00,53.93,-18.07,6.10,4.57,-1.53,-2.2012,5.5278,4.3881,-1.1397,223.47,11.439,1.6789e-04,true,
Table_S9,Excluded,1.00,6,85,0.0200,62.50,22.46,-40.04,18.60,5.67,-12.93,-2.1387,3.5166,3.9624,0.4458,154.94,18.550,1.4556e-04,true,
Table_S9,Core,1.00,6,80,0.2900,59.00,66.65,7.65,8.90,10.79,1.89,-2.0376,3.5133,3.8767,0.3634,154.94,11.439,1.7388e-04,true,
Table_S9,Core,1.00,6,85,0.1600,64.60,66.55,1.95,12.00,10.41,-1.59,-2.0442,3.4418,3.8780,0.4361,154.94,14.720,1.5741e-04,true,
Table_S9,Core,1.00,6,101,0.0800,77.40,64.34,-13.06,8.00,9.22,1.22,-2.0701,3.6755,3.9217,0.2462,154.94,16.872,1.5009e-04,true,
Table_S9,Core,1.00,6,116,0.2400,64.30,69.49,5.19,5.80,8.98,3.18,-2.0652,3.9185,3.9586,0.0401,154.94,12.668,1.6671e-04,true,
Table_S9,Core,1.00,6,131,0.0400,73.30,40.05,-33.25,8.30,6.05,-2.25,-2.1516,3.8472,4.0441,0.1970,154.94,17.985,1.4699e-04,true,
Table_S9,Core,1.00,6,147,0.2000,64.40,70.07,5.67,9.50,7.90,-1.60,-2.0873,4.2102,4.0251,-0.1850,154.94,13.681,1.6177e-04,true,
Table_S9,Core,1.00,6,162,0.1200,69.80,68.77,-1.03,9.80,7.37,-2.43,-2.1022,4.2635,4.0509,-0.2126,154.94,15.784,1.5354e-04,true,
Table_S9,Core,1.00,6,177,0.2800,63.20,71.22,8.02,8.70,7.19,-1.51,-2.1018,4.6742,4.1068,-0.5674,154.94,11.681,1.7234e-04,true,
Table_S9,Excluded,1.00,6,193,0.0200,38.60,16.17,-22.43,39.90,3.02,-36.88,-2.2186,4.5186,4.1995,-0.3191,154.94,18.550,1.4556e-04,true,
Table_S9,Extended-only,1.00,6,208,0.1800,69.70,68.65,-1.05,6.40,6.40,-0.00,-2.1281,4.6320,4.1599,-0.4721,154.94,14.198,1.5952e-04,true,
Table_S9,Extended-only,1.00,6,223,0.1000,73.50,65.30,-8.20,8.90,5.95,-2.95,-2.1453,4.5815,4.1838,-0.3977,154.94,16.325,1.5176e-04,true,
Table_S9,Extended-only,1.00,6,239,0.2600,68.10,69.19,1.09,8.50,5.94,-2.56,-2.1406,4.9137,4.2456,-0.6681,154.94,12.171,1.6943e-04,true,
Table_S9,Extended-only,1.00,6,254,0.0600,56.00,41.63,-14.37,11.40,4.26,-7.14,-2.2086,5.0297,4.2858,-0.7439,154.94,17.426,1.4850e-04,true,
Table_S9,Extended-only,1.00,6,269,0.2200,64.40,66.16,1.76,11.00,5.40,-5.60,-2.1615,5.2254,4.3031,-0.9222,154.94,13.172,1.6416e-04,true,
Table_S9,Extended-only,1.00,6,285,0.1400,68.20,61.55,-6.65,11.50,5.00,-6.50,-2.1793,5.0871,4.3223,-0.7648,154.94,15.249,1.5542e-04,true,
Table_S9,Excluded,1.00,6,290,0.0200,31.00,12.05,-18.95,26.70,2.08,-24.62,-2.2584,5.1297,4.3805,-0.7491,154.94,18.550,1.4556e-04,true,
Table_S9,Extended-only,1.00,6,290,0.2900,60.10,66.99,6.89,16.30,5.22,-11.08,-2.1668,5.0498,4.3711,-0.6787,154.94,11.439,1.7388e-04,true,
Table_S10,Excluded,1.00,10,85,0.0200,0.10,24.44,24.34,1.00,5.93,4.93,-2.1358,2.5882,3.9606,1.3724,130.68,18.550,1.4686e-04,true,
Table_S10,Core,1.00,10,80,0.2900,52.70,67.24,14.54,10.90,10.86,-0.04,-2.0348,3.6512,3.8756,0.2244,130.68,11.439,1.7600e-04,true,
Table_S10,Core,1.00,10,85,0.1600,71.60,67.34,-4.26,8.90,10.49,1.59,-2.0407,3.5741,3.8759,0.3018,130.68,14.720,1.5906e-04,true,
Table_S10,Core,1.00,10,101,0.0800,79.90,65.85,-14.05,8.50,9.37,0.87,-2.0643,3.5679,3.9173,0.3494,130.68,16.872,1.5152e-04,true,
Table_S10,Core,1.00,10,116,0.2400,60.90,70.51,9.61,7.40,9.07,1.67,-2.0606,3.8436,3.9562,0.1125,130.68,12.668,1.6862e-04,true,
