row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
113,extended,1.00,2.0,116,0.2400,0.0038,3.1000e-04,66.50,2.90,14.20,65.94,6.20,19.72,8.14,-1.8784,1
114,extended,1.00,2.0,131,0.0400,0.0061,8.6000e-06,67.40,13.20,7.40,43.76,1.21,54.92,0.11,-1.9543,1
115,extended,1.00,2.0,147,0.2000,0.0042,2.1000e-04,70.70,3.50,13.30,67.67,5.37,21.71,5.25,-1.8997,1
116,extended,1.00,2.0,162,0.1200,0.0051,7.7000e-05,69.40,7.40,13.40,67.45,4.54,24.78,3.23,-1.9147,1
117,extended,1.00,2.0,177,0.2800,0.0034,4.2000e-04,69.80,5.10,11.40,68.53,4.96,22.32,4.19,-1.9124,1
119,extended,1.00,2.0,208,0.1800,0.0044,1.7000e-04,71.40,6.90,11.50,66.39,3.53,28.47,1.61,-1.9389,1
120,extended,1.00,2.0,223,0.1000,0.0054,5.4000e-05,74.40,8.00,10.40,61.60,2.51,35.23,0.65,-1.9577,1
121,extended,1.00,2.0,239,0.2600,0.0036,3.6000e-04,74.20,6.50,9.50,66.01,3.20,29.55,1.24,-1.9491,1
122,extended,1.00,2.0,254,0.0600,0.0058,1.9000e-05,62.40,11.50,6.60,35.46,0.58,63.93,0.02,-2.0054,1
123,extended,1.00,2.0,269,0.2200,0.0040,2.6000e-04,74.80,7.70,8.70,60.88,2.22,36.43,0.48,-1.9702,1
124,extended,1.00,2.0,285,0.1400,0.0049,1.1000e-04,73.80,7.80,8.80,54.10,1.51,44.21,0.18,-1.9870,1
126,extended,1.00,2.0,290,0.2900,0.0033,4.5000e-04,72.00,6.10,7.90,61.28,2.19,36.06,0.47,-1.9732,1
128,extended,1.00,6.0,80,0.2900,0.0300,4.1000e-03,59.00,8.90,12.70,61.59,7.25,17.45,13.70,-1.8474,1
129,extended,1.00,6.0,85,0.1600,0.0420,1.2000e-03,64.60,12.00,13.20,62.49,7.08,17.88,12.55,-1.8531,1
130,extended,1.00,6.0,101,0.0800,0.0500,3.1000e-04,77.40,8.00,17.10,65.12,6.29,20.18,8.41,-1.8724,1
131,extended,1.00,6.0,116,0.2400,0.0340,2.8000e-03,64.30,5.80,14.00,64.76,6.77,17.42,11.05,-1.8711,1
132,extended,1.00,6.0,131,0.0400,0.0550,7.7000e-05,73.30,8.30,15.60,56.16,2.33,40.96,0.55,-1.9358,1
133,extended,1.00,6.0,147,0.2000,0.0380,1.9000e-03,64.40,9.50,12.70,66.97,6.28,18.05,8.70,-1.8886,1
134,extended,1.00,6.0,162,0.1200,0.0460,6.9000e-04,69.80,9.80,13.40,68.06,5.81,19.30,6.82,-1.8995,1
135,extended,1.00,6.0,177,0.2800,0.0310,3.8000e-03,63.20,8.70,12.40,68.25,6.03,17.96,7.76,-1.8997,1
137,extended,1.00,6.0,208,0.1800,0.0400,1.6000e-03,69.70,6.40,13.20,69.59,5.21,20.26,4.94,-1.9181,1
138,extended,1.00,6.0,223,0.1000,0.0480,4.8000e-04,73.50,8.90,13.60,69.35,4.48,23.00,3.17,-1.9312,1
