row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_TCH_pred,V_cathode_pred,converged
101,extended,0.5,10.0,208.0,0.18,0.22,0.0087,48.9,17.7,10.9,63.627272737969996,9.469131750229687,12.974924707724515,-1.8951167187500002,1
102,extended,0.5,10.0,223.0,0.1,0.27,0.0027,50.4,17.7,10.7,62.57206508213737,9.883427855298851,12.716421245397001,-1.9038229687500001,1
103,extended,0.5,10.0,239.0,0.26,0.18,0.018,65.8,3.5,14.1,63.720921279111714,9.589635270645218,12.946993532852813,-1.9027737500000002,1
104,extended,0.5,10.0,254.0,0.06,0.29,0.00096,47.1,18.9,10.8,49.70459521748725,13.305217271638773,9.929368562862697,-1.9519674999999999,1
105,extended,0.5,10.0,269.0,0.22,0.2,0.013,49.9,15.9,10.8,62.787485939567276,10.027823198258488,12.699154168970564,-1.9138339062500003,1
106,extended,0.5,10.0,285.0,0.14,0.24,0.0053,49.4,18.8,10.1,61.335464887512956,10.557472083859047,12.361344908535004,-1.9232565624999998,1
108,extended,0.5,10.0,290.0,0.29,0.17,0.023,63.8,6.2,12.8,63.01663718077475,10.040093444837439,12.72312878070016,-1.91714953125,1
110,core,1.0,2.0,80.0,0.29,0.0033,0.00045,61.5,2.2,13.0,NaN,NaN,NaN,NaN,0
111,core,1.0,2.0,85.0,0.16,0.0047,0.00014,70.5,2.6,15.1,NaN,NaN,NaN,NaN,0
112,core,1.0,2.0,101.0,0.08,0.0056,3.4e-5,74.6,3.3,16.7,NaN,NaN,NaN,NaN,0
113,core,1.0,2.0,116.0,0.24,0.0038,0.00031,66.5,2.9,14.2,NaN,NaN,NaN,NaN,0
114,core,1.0,2.0,131.0,0.04,0.0061,8.6e-6,67.4,13.2,7.4,NaN,NaN,NaN,NaN,0
115,core,1.0,2.0,147.0,0.2,0.0042,0.00021,70.7,3.5,13.3,NaN,NaN,NaN,NaN,0
116,core,1.0,2.0,162.0,0.12,0.0051,7.7e-5,69.4,7.4,13.4,NaN,NaN,NaN,NaN,0
117,core,1.0,2.0,177.0,0.28,0.0034,0.00042,69.8,5.1,11.4,NaN,NaN,NaN,NaN,0
119,extended,1.0,2.0,208.0,0.18,0.0044,0.00017,71.4,6.9,11.5,NaN,NaN,NaN,NaN,0
120,extended,1.0,2.0,223.0,0.1,0.0054,5.4e-5,74.4,8.0,10.4,NaN,NaN,NaN,NaN,0
121,extended,1.0,2.0,239.0,0.26,0.0036,0.00036,74.2,6.5,9.5,NaN,NaN,NaN,NaN,0
122,extended,1.0,2.0,254.0,0.06,0.0058,1.9e-5,62.4,11.5,6.6,NaN,NaN,NaN,NaN,0
123,extended,1.0,2.0,269.0,0.22,0.004,0.00026,74.8,7.7,8.7,NaN,NaN,NaN,NaN,0
124,extended,1.0,2.0,285.0,0.14,0.0049,0.00011,73.8,7.8,8.8,NaN,NaN,NaN,NaN,0
126,extended,1.0,2.0,290.0,0.29,0.0033,0.00045,72.0,6.1,7.9,NaN,NaN,NaN,NaN,0
128,core,1.0,6.0,80.0,0.29,0.03,0.0041,59.0,8.9,12.7,NaN,NaN,NaN,NaN,0
129,core,1.0,6.0,85.0,0.16,0.042,0.0012,64.6,12.0,13.2,NaN,NaN,NaN,NaN,0
130,core,1.0,6.0,101.0,0.08,0.05,0.00031,77.4,8.0,17.1,NaN,NaN,NaN,NaN,0
131,core,1.0,6.0,116.0,0.24,0.034,0.0028,64.3,5.8,14.0,NaN,NaN,NaN,NaN,0
132,core,1.0,6.0,131.0,0.04,0.055,7.7e-5,73.3,8.3,15.6,NaN,NaN,NaN,NaN,0
133,core,1.0,6.0,147.0,0.2,0.038,0.0019,64.4,9.5,12.7,NaN,NaN,NaN,NaN,0
134,core,1.0,6.0,162.0,0.12,0.046,0.00069,69.8,9.8,13.4,NaN,NaN,NaN,NaN,0
135,core,1.0,6.0,177.0,0.28,0.031,0.0038,63.2,8.7,12.4,NaN,NaN,NaN,NaN,0
137,extended,1.0,6.0,208.0,0.18,0.04,0.0016,69.7,6.4,13.2,NaN,NaN,NaN,NaN,0
138,extended,1.0,6.0,223.0,0.1,0.048,0.00048,73.5,8.9,13.6,NaN,NaN,NaN,NaN,0
139,extended,1.0,6.0,239.0,0.26,0.033,0.0033,68.1,8.5,11.6,NaN,NaN,NaN,NaN,0
140,extended,1.0,6.0,254.0,0.06,0.053,0.00017,56.0,11.4,9.7,NaN,NaN,NaN,NaN,0
141,extended,1.0,6.0,269.0,0.22,0.036,0.0023,64.4,11.0,9.7,NaN,NaN,NaN,NaN,0
