row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
36,holdout,0.25,6.0,290,0.2900,0.1200,1.6000e-02,62.00,5.70,11.40,64.89,9.40,12.57,13.14,-1.9098,1
38,holdout,0.25,10.0,80,0.2900,0.3300,4.5000e-02,45.80,20.80,9.10,64.92,8.08,13.39,13.62,-1.8310,1
39,holdout,0.25,10.0,85,0.1600,0.4700,1.4000e-02,33.40,40.50,0.20,64.87,8.15,13.40,13.58,-1.8351,1
40,holdout,0.25,10.0,101,0.0800,0.5600,3.4000e-03,50.20,29.10,6.30,63.95,8.60,14.14,13.31,-1.8500,1
41,holdout,0.25,10.0,116,0.2400,0.3800,3.1000e-02,40.40,22.80,7.30,65.45,8.27,12.67,13.60,-1.8516,1
42,holdout,0.25,10.0,131,0.0400,0.6100,8.6000e-04,20.90,13.50,0.10,53.49,11.56,24.03,10.92,-1.9020,1
43,holdout,0.25,10.0,147,0.2000,0.4200,2.1000e-02,25.80,29.90,4.30,65.61,8.45,12.39,13.55,-1.8656,1
44,holdout,0.25,10.0,162,0.1200,0.5100,7.7000e-03,36.50,24.60,5.50,65.42,8.61,12.50,13.47,-1.8725,1
45,holdout,0.25,10.0,177,0.2800,0.3400,4.2000e-02,38.00,19.80,8.50,65.90,8.54,12.02,13.55,-1.8755,1
47,holdout,0.25,10.0,208,0.1800,0.4400,1.7000e-02,23.20,28.70,3.80,65.58,8.81,12.19,13.41,-1.8870,1
48,holdout,0.25,10.0,223,0.1000,0.5400,5.4000e-03,28.80,18.40,5.00,65.15,9.04,12.53,13.29,-1.8935,1
49,holdout,0.25,10.0,239,0.2600,0.3600,3.6000e-02,34.90,23.40,7.00,65.79,8.88,11.92,13.41,-1.8943,1
50,holdout,0.25,10.0,254,0.0600,0.5800,1.9000e-03,20.20,19.70,3.80,57.53,11.51,19.38,11.58,-1.9307,1
51,holdout,0.25,10.0,269,0.2200,0.4000,2.6000e-02,21.90,25.90,4.30,65.48,9.11,12.11,13.30,-1.9031,1
52,holdout,0.25,10.0,285,0.1400,0.4900,1.1000e-02,19.70,23.40,4.00,64.88,9.38,12.59,13.14,-1.9095,1
54,holdout,0.25,10.0,290,0.2900,0.3300,4.5000e-02,45.40,14.20,9.30,65.69,9.12,11.88,13.32,-1.9065,1
